,original_text,text
183,RT @croc716: Happy birthday 🎂 https://t.co/8WGQT1esuo,Happy birthday
184,RT @breakingpol: Report: Justice Dept. warned FBI that updating Congress on new Clinton emails not in line with policy - WaPo https://t.co/…,Report Justice Dept warned FBI that updating Congress on new Clinton emails not in line with policy  WaPo
185,"RT @AnnoGalactic: #FamousCreatures

Sealion Dion",Dion
186,"RT @TheTrumpLady: BREAKING : Unions Meet With Trump, Praise TPP Withdrawal https://t.co/KeKaHWKL7j",BREAKING  Unions Meet With Trump Praise TPP Withdrawal
187,RT @KarenCivil: Take a look at this week’s #CivilSelects featuring @IamLDMusic’s ‘That Way’ https://t.co/FgWFRcBbLJ https://t.co/wNCYPhVUuc,Take a look at this weeks featuring That Way
188,"RT @SalwaSamra: @brhodes high time USA realised they've been awarded a competent, let's get down to business and protect America President.…",high time USA realised theyve been awarded a competent lets get down to business and protect America President
189,RT @phdzoidberg: #ThingsYouCantIgnore https://t.co/xhhfxJZCHp,
190,RT @BabyJannyMeow: A fourteen day old carnation and a pack of peanut butter cups. #LastMinuteGifts2016,A fourteen day old carnation and a pack of peanut butter cups
191,Liberals keep on saying that Islam is peaceful while Muslims firebomb bus in Paris https://t.co/VQ2MHPxikD,Liberals keep on saying that Islam is peaceful while Muslims firebomb bus in Paris
192,"RT @BARON_1987: #PS4share shooting down the airship L30 #Battlefield1

https://t.co/5OUaRXOOl2 https://t.co/8Boo37Glc1",shooting down the airship L30
193,Eric Trump Says Dad ‘Absolutely’ Has Paid Federal Income Tax  #politics,Eric Trump Says Dad Absolutely Has Paid Federal Income Tax
194,"RT @_hsial: For every RT,I will donate $0.10 to the ""Respond with Love"" project that is rebuilding Black Churches across Southern USA. #Bla…",For every RTI will donate 010 to the Respond with Love project that is rebuilding Black Churches across Southern USA
195,RT @misxal: #ValentinesDayIn3Words waff and fallen,waff and fallen
196,"RT @DCClothesline: Man Who Killed Random UPS Driver Tells Court, “I Shot And Killed Donald Trump Purposely,… https://t.co/GT0ts9odMb https:…",Man Who Killed Random UPS Driver Tells Court I Shot And Killed Donald Trump Purposely
197,RT @EasyEarl: Actor-Comedian Joe Piscopo: People Get Ready 'The Trump Train Is Coming' (Video https://t.co/T61R5pPDgA via @sharethis,ActorComedian Joe Piscopo People Get Ready The Trump Train Is Coming Video via
198,"Trump: Obama 'Was Born in the United States, Period'  #politics",Trump Obama Was Born in the United States Period
199,RT @redflagnews: Trump’s Bloodless Coup Against America’s Enemies From Within...  https://t.co/w2EmM1zROR,Trumps Bloodless Coup Against Americas Enemies From Within
200,"RT @AllenWestRepub: Yet again, a solution to crime that will benefit the general public is deemed racist, by a racist group. https://t.co/V…",Yet again a solution to crime that will benefit the general public is deemed racist by a racist group
201,RT @AntheaButler: 10. But that's not important right now. What is important that we begin to mobilize. It is our constitutional First Amend…,10 But thats not important right now What is important that we begin to mobilize It is our constitutional First Amend
202,RT @blicqer: ▶ 10 Things Anthony Weiner Did That Were Worse Than Storing Hillary Clinton’s Emails on His Computer… , 10 Things Anthony Weiner Did That Were Worse Than Storing Hillary Clintons Emails on His Computer
203,RT @Target: Vintage notebook. 😉 #HipsterSchoolSuppliesList https://t.co/GjymBlQIJd,Vintage notebook
204,RT @ali: The general election comes after primary. Have to win both. Hypothetically doing good in gen doesn't earn you prim. https://t.co/z…,The general election comes after primary Have to win both Hypothetically doing good in gen doesnt earn you prim
205,RT @BigEnuff: #IWillAlwaysLove doing things. Especially nothings. Nothings are my favorite.,doing things Especially nothings Nothings are my favorite
206,Today we celebrate #deplorables day! #Trump #ElectionDay #TrumpPence16 #TrumpTrain #TrumpForPresident,Today we celebrate day Donald Trump
207,RT @Dannerism: It's marvelous to watch dumb ass senators get schooled by #Gorsuch on the laws they wrote .@tamij @Patriotancestry @HeyTammy…,Its marvelous to watch dumb ass senators get schooled by on the laws they wrote
208,"""Oder hat die #CDU eine Katze als Social-Media-Manager eingestellt?"" Eine tolle Idee! 😆😆😆 #fedidwgugl
https://t.co/qgBDrhN5KY",Oder hat die eine Katze als SocialMediaManager eingestellt Eine tolle Idee
209,RT @KurtSchlichter: Now @TonyKatz approved! | How Marco Rubio Might Win Back Us Conservatives http://t.co/GoZrojCxXd,Now approved  How Marco Rubio Might Win Back Us Conservatives
210,"RT @Dreamweasel: #IdRunForPresidentIf

I searched through my couch cushions and found an extra half a billion lying around",searched through my couch cushions and found an extra half a billion lying around
211,"RT @RiepTide1999: Paper or plastic? 
#RejectedDebateTopics",Paper or plastic
212,RT @JamesOKeefeIII: Wrong. We have tape of them demeaning and disparaging black people in the worst ways. That will matter. Coming in O… ,Wrong We have tape of them demeaning and disparaging black people in the worst ways That will matter Coming in O
213,"RT @AnnaCohenZodek: Can't confirm.
BREAKING: ABC NEWS NEW YORK JUST CONFIRMED HILLARY DEAD AT LOCAL HOSPITAL
https://t.co/MUSPkjOCwa https:…",Cant confirm BREAKING ABC NEWS NEW YORK JUST CONFIRMED HILLARY DEAD AT LOCAL
214,RT @agriegelis1975: Cersei #ThingsMoreTrustedThanHillary https://t.co/5ah14PtwiU,Cersei
215,Live Trump-Clinton presidential debate coverage tonight (9/26/16) and fact check https://t.co/e0Ge5iAGvG,Live TrumpClinton presidential debate coverage tonight 92616 and fact check
216,"I like what you tell me, even if it's silence",I like what you tell me even if its silence
217,Ed Klein: Hillary couldn't stop crying and blamed Comey &amp; Obama for not doing enough to stop FBI investigation. https://t.co/bx4uIFhpUf,Ed Klein Hillary couldnt stop crying and blamed Comey   Obama for not doing enough to stop FBI investigation
218,"RT @edjukatedrebel: Common sense.

 #RejectedDebateTopics",Common sense
219,RT @DonDonjjames: Creates doubt when he makes comments that only a sexual predator would make;shows great lack of respect for women;&amp;… ,Creates doubt when he makes comments that only a sexual predator would makeshows great lack of respect for women
220,"RT @elmash16: .@exjon #InHonorOf MM2 Joseph Ashley who died aboard my old boat, USS San Francisco, off Guam, 8 JAN 2005. https://t.co/Gs3qi…",MM2 Joseph Ashley who died aboard my old boat USS San Francisco off Guam 8 JAN 2005
221,RT @JoyAnnReid: @es_snipes :-),
222,RT @BIZPACReview: ‘Why would we invite this here?’ Anger explodes at 9th Circuit as Iranian ‘Death to America’ rallies rage https://t.co/xT…,Why would we invite this here Anger explodes at 9th Circuit as Iranian Death to America rallies rage
223,#StayWoke https://t.co/xV6CPnvHUk,
224,#teapartynews #theteaparty #Montenegro #NATO #montenegroprotests https://t.co/pGdDz2sc2E,
225,RT @luvGodncountry: Hillary's Campaign Tries to Turn 'Saint James' Comey Into Ken Starr |  https://t.co/Mrl3rmDMrw,Hillarys Campaign Tries to Turn Saint James Comey Into Ken Starr
226,RT @AJENews: Polls: Bernie Sanders has more potential than Hillary Clinton to beat Trump https://t.co/uUrmbmsvE3 https://t.co/c3UJqcXmgy,Polls Bernie Sanders has more potential than Hillary Clinton to beat Trump
227,Beavis and Bullhead #FishTV @midnight,Beavis and Bullhead
228,RT @nypost: Just a friendly Sunday night reminder to follow the Post on Instagram: http://t.co/15qVXmSlDn,Just a friendly Sunday night reminder to follow the Post on Instagram
229,"RT @mike_pence: Our new ""Trump Force 2"" is sporting fresh paint and ready to help us make the final push to Election Day! Next stop… ",Our new Trump Force 2 is sporting fresh paint and ready to help us make the final push to Election Day Next stop
230,#ReasonIAmNotPresident I don't want to fix all the mess Obama has brought,I dont want to fix all the mess Obama has brought
231,France's Macron shapes his party for 2017 election and beyond  #news,Frances Macron shapes his party for 2017 election and beyond
232,"RT @Ptheactress: #ThingsYouCantIgnore 
The urge to slide on a wooden floor https://t.co/hnlrPgVNMN", The urge to slide on a wooden floor
233,Agents of N.K.O.T.B  #AddABandToATVShow,Agents of NKOTB
234,Business money maker #ValentinesDayIn3Words,Business money maker
235,"RT @TEN_GOP: Trump in #Miami: ""Take Guns from Hillary's Bodyguards, Let's See What Happens to Her""
#TrumpRally
#birtherism https://t.co/iK9…",Trump in Take Guns from Hillarys Bodyguards Lets See What Happens to Her
236,RT @amrightnow: Mexico's Drug Poisoning and Killing Americans https://t.co/c8fEGWFgrz  #WisconsinPrimary #1A #2A #sarahpalin #tcot https://…,Mexicos Drug Poisoning and Killing Americans
237,RT @Reverend_Kelly: FAITH is watching little become much when you place it in God's hands. #thoughtoftheday https://t.co/eWRMfugJ11,FAITH is watching little become much when you place it in Gods hands
238,RT @EclipseRecords: FREE download @breachofsilence @despiteofficial @mindshiftmusic @sixtymilesahead and more! https://t.co/JOAnuNmguN http…,FREE download and more
239,#Guns4NY American courts regularly return violent criminals to the streets to do their crimes again,American courts regularly return violent criminals to the streets to do their crimes again
240,"RT @jstines3: TED CRUZ: CONSTITUTION as law, SCRIPTURE for guidance,",TED CRUZ CONSTITUTION as law SCRIPTURE for guidance
241,RT @TimKcomic: Happy mothers day to Big Mama Thornton who Elvis stole the song Hound Dog from,Happy mothers day to Big Mama Thornton who Elvis stole the song Hound Dog from
242,"RT @oinc2islam: @KentuckyMarine1 @tarheel_rn @LMDavens @anne19brown @SaharahShae @bigpoppagrizz62 
Semper Fi Brother! My old man's a Jar He…", Semper Fi Brother My old mans a Jar He
243,"Coming soon:
Billy Bush to blame for 9/11, The Holocaust, Lincoln's assassination... ~ Melania Trump #Decision2016",Coming soon Billy Bush to blame for 911 The Holocaust Lincolns assassination  Melania Trump
244,Diversity #WakeUpAmerica #Trump2016 #MakeAmericaGreatAgain https://t.co/8Pmwi0E6Vx,Diversity
245,"RT @vinarmani: Monday, LIVE on The Vin Armani Show on @ActivistPost, a fascinating conversation with @DrMarkThornton of @mises on ""The Skys…",Monday LIVE on The Vin Armani Show on a fascinating conversation with of on The Skys
246,RT @peddoc63: Closest we have EVER been to Ronald Reagan is @tedcruz,Closest we have EVER been to Ronald Reagan is
247,#HonorForTheBrave If you feel like to be brave and fair then you must become a policeman,If you feel like to be brave and fair then you must become a policeman
248,RT @JulsONright2012: @theglobaluniter @realdonaldtrump @pudingtane It is possible my son could be alive 2day if VA didn't let him down. STA…,Donald Trump It is possible my son could be alive 2day if VA didnt let him down STA
249,"RT @zooofgenius: Okay, just this yonce. That's definitely what she said. #YonceForAllOccasions",Okay just this yonce Thats definitely what she said
250,RT @Wisethedome: What's stopping you from doing the things you really want to do?,Whats stopping you from doing the things you really want to do
251,Hillary Clinton is #NeverMyPresident and I'm so thankful for it https://t.co/ZPbq6gyaBU,Hillary Clinton is and Im so thankful for it
252,"RT @Ric335: Right now, I think i'd rather run from President.
#IdRunForPresidentIf",Right now I think id rather run from President
253,RT @DailySanAntonio: Winning numbers drawn in 'Pick 3 Evening' game  #Texas,Winning numbers drawn in Pick 3 Evening game
254,RT @rikroku: #ThingsThatDisturbMe Google. I mean is it a woman. Cause it won't let me finish my sentence without coming up with other sugge…,Google I mean is it a woman Cause it wont let me finish my sentence without coming up with other sugge
255,RT @mitchellvii: Attorney: Trump Companies Employ More Female Execs Than Male | The Daily Caller https://t.co/JgQleIbCN4,Attorney Trump Companies Employ More Female Execs Than Male  The Daily Caller
256,Colonel Rob Maness endorsed Donald Trump! https://t.co/u02zRFFkiZ,Colonel Rob Maness endorsed Donald Trump
257,"RT @AIIAmericanGirI: 🇺🇸
You've never wanted anything as much as you want this churro ice cream sandwich http://t.co/3A1oIDSBC2 #wiunion", Youve never wanted anything as much as you want this churro ice cream sandwich
258,RT @1VoiceMatters: I thought she showed her TRUE METTLE when She was found Criminally Negligent with National Security? 😳 https://t.co/ccEp…,I thought she showed her TRUE METTLE when She was found Criminally Negligent with National Security
259,Dannng Elsa from #Frozen visted Buffalo NY ❄️⛄️,Dannng Elsa from visted Buffalo NY
260,RT @SonofLiberty357: BOOM! Dr. Gina Loudon Drops BOMB on CNN – Video of Groper Bill Clinton Is Online on Gateway Pundit (VIDEO) https://t.c…,BOOM Dr Gina Loudon Drops BOMB on CNN  Video of Groper Bill Clinton Is Online on Gateway Pundit VIDEO
261,RT @lions725: @chrgdup1973 @gentlemanirish @GeraldYak420 @lupash7 @CurlyCoyne @Bobbyh214 @abitx2u @Vinceee_ny @RandallKraft https://t.co/29…,
262,RT @AndGermaine: Masterful #MAGA https://t.co/Hnn5knGdFR,Masterful
263,#AltRightMeans knowing that too much diversity and globalization can destroy civilization,knowing that too much diversity and globalization can destroy civilization
264,"RT @ChristiChat: MT @ChrisCoon4: Can you believe Obama said ISIS is Not our #1 enemy, Climate Change is ? http://t.co/XYuCzQeb8Y #PJNET #Ju…",MT Can you believe Obama said ISIS is Not our enemy Climate Change is
265,"Obama never negotiates with terrorists, he gives them what they want https://t.co/prgs9mUtnL",Obama never negotiates with terrorists he gives them what they want
266,RT @4HeritageMoms: Wondering how to grow on twitter? I gained 17 followers in the past day. This is the app: https://t.co/42IMVXUmr4,Wondering how to grow on twitter I gained 17 followers in the past day This is the app
267,"Vorwärts immer, rückwärts nimmer! #Merkelmussbleiben",Vorwrts immer rckwrts nimmer
268,#Merkel hält an Flüchtlings-Deal mit der #Türkei fest #Merkelmussbleiben,hlt an FlchtlingsDeal mit der fest
269,"RT @Ptheactress: #ThingsYouCantIgnore 
Any woman in yoga pants👀", Any woman in yoga pants
270,RT @CNNPolitics: President Donald Trump attacks another federal judge with whom he disagrees https://t.co/spDcnpbBtt https://t.co/Jj8HgacDaK,President Donald Trump attacks another federal judge with whom he disagrees
271,Thank you police officers who risked their life today to keep people safe  #Prayers4California,Thank you police officers who risked their life today to keep people safe
272,"RT @HazeyBaby_Promo: [DOPE MUSIC ALERT] #Microphone (@A_NEW_ERA90) ""Hold On Baby"" https://t.co/tTT3Hi0j7I  For more music follow @PAPERBOYE…",DOPE MUSIC ALERT Hold On Baby  For more music follow
273,RT @em2wice: Original Aunt Vivian trashes Fresh Prince of Bel-Air reunion photo https://t.co/PDCLpHJegF,Original Aunt Vivian trashes Fresh Prince of BelAir reunion photo
274,President Obama plans to speak to disabled veterans while i... https://t.co/5w2ANXcBDp | https://t.co/1KPXto2HfW https://t.co/Awlz38KtIo,President Obama plans to speak to disabled veterans while i
275,"Can't, It's My Dogs B'day #CancelPlansIn5Words",Cant Its My Dogs Bday
276,"RT @magnifier661: 🔥🚨New Trump Ad🚨🔥
Trump campaign responds to Hillary's 👉#BasketOfDeplorables👈  comment

#MAGA🇺🇸
#HillarysHealth https://t.…",New Trump Ad Trump campaign responds to Hillarys  comment
277,"A man, Will Smith,with a net worth of 260 million complains that #OscarsSoWhite  #OscarHasNoColor",A man Will Smithwith a net worth of 260 million complains that
278,RT @Supervisor1_9_4: TFW Total Fucking Wanker #AlternativeAcronymInterpretations,TFW Total Fucking Wanker
279,"RT @GGNJ2000: I'm Catholic, I have a Gay Brother, who is also Catholic-We R both voting Trump &amp; I have Never wanted to throw a Gay person o…",Im Catholic I have a Gay Brother who is also CatholicWe R both voting Trump   I have Never wanted to throw a Gay person o
280,Manager: I reprimanded Trump over Machado remarks https://t.co/EbraixFHM5 #politics https://t.co/wGCdhdpXYp,Manager I reprimanded Trump over Machado remarks
281,"RT @AnnetteReid24: ""You are eating an animal's genitalia"" #RuinADinnerInOnePhrase https://t.co/gLXcGORCDw",You are eating an animals genitalia
282,RT @mitchellvii: Philly FOP Prez on Endorsement: Clinton ‘Blew The Police Off’ « CBS Philly https://t.co/fvx68OUHNL,Philly FOP Prez on Endorsement Clinton Blew The Police Off  CBS Philly
283,#HillaryClinton personally delivers big boost to #WassermanSchultz https://t.co/Z2UUUiLx6G,personally delivers big boost to
284,RT @peddoc63: Sank⚓️tury Cities are going down! God Bless AG #JeffSessions #DefundSanctuaryCities #TheFive https://t.co/GV8ZSDI71e,Sanktury Cities are going down God Bless AG
285,RT @realDonaldTrump: I am truly honored and grateful for receiving SO much support from our American heroes...https://t.co/S9bvbysiOr https…,I am truly honored and grateful for receiving SO much support from our American
286,"RT @kimmie99: Retweeted Bama Greg (@bamagreg92):

For God so loved the world that he gave his one and only Son, that whoever... https://t.c…",Retweeted Bama Greg  For God so loved the world that he gave his one and only Son that whoever
287,"RT @HouseCracka: HOT TICKET: DONALD TRUMP IN PENSACOLA FLORIDA TONIGHT!

LIVE HERE: https://t.co/KQLq896rNF https://t.co/xsNvYtPXEc",HOT TICKET DONALD TRUMP IN PENSACOLA FLORIDA TONIGHT  LIVE HERE
288,RT @blicqer: Refugees in Rwanda get the opportunity to pursue a university degree https://t.co/QoXQtZQovt @CCTVNewsAfrica https://t.co/gVwQ…,Refugees in Rwanda get the opportunity to pursue a university degree
289,"RT @NetAdvisor: #ThingsHillaryGoogles
How come only Democrat supporters burn the #American flag?
https://t.co/UXs4oeRWLv",come only Democrat supporters burn the
290,RT @BreitbartNews: [Kurt Russell voice] No. https://t.co/1BQfS10JjV,Kurt Russell voice No
291,"RT @realDonaldTrump: In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank…",In the last 24 hrs we have raised over 13M from online donations and National Call Day and were still going Thank
292,RT @BarbBae: @ChelseaClinton go march or something 😂😂😂😂,go march or something
293,RT @CNN: Voter to @SenTomCotton: My husband is dying. We can't afford health insurance. What kind of insurance do you have? https://t.co/iY…,Voter to My husband is dying We cant afford health insurance What kind of insurance do you have
294,"RT @gingleberries: #IfMyFriendsSawMeNow they'd say,'let me watch your children, you need a shower'",theyd saylet me watch your children you need a shower
295,"RT @keny_berd: Thank you to the beautiful, brave, strong women of our military. Thank you Jon- amazing depiction of such women. #Patriot #G…",Thank you to the beautiful brave strong women of our military Thank you Jon amazing depiction of such women
296,"RT @BBQColin: I know I asked for a rare steak, but this flinches when I lift my knife. #RuinADinnerInOnePhrase",I know I asked for a rare steak but this flinches when I lift my knife
297,RT @Douglasmaher: Just Hear Me Out Hillary Clinton hates everyday Americans. Fact. #MAGA #RiggedSystem #PodestaEmails26… ,Just Hear Me Out Hillary Clinton hates everyday Americans Fact
298,RT @AlegnaDas: @TagItsIt Oh how nice flowers ill there from him,Oh how nice flowers ill there from him
299,RT @BevanSlattery: Buying first set of @RedFlowLimited batteries for the office this week.  Can't wait @simonhackett  https://t.co/KdyfDckQ…,Buying first set of batteries for the office this week  Cant wait
300,RT @AmandaPresto: U.S. Soccer’s Statement SLAMMING Megan Rapinoe For Kneeling During National Anthem | @realDailyWire @benshapiro  https://…,US Soccers Statement SLAMMING Megan Rapinoe For Kneeling During National Anthem
301,https://t.co/57h8vd3QSm ouch!,ouch
302,"RT @BPDmisconduct: Hey, familiar... Cop responds to Assault by Strangulation call, ends up hurting the Victims. Yea, Texas again. #acab htt…",Hey familiar Cop responds to Assault by Strangulation call ends up hurting the Victims Yea Texas again htt
303,"RT @iamblacking: mac and cheese book.
 #MakeTechEdible",mac and cheese book
304,@HillaryClinton You belong to PRISON!,Hillary Clinton You belong to PRISON
305,RT @AbnInfVet: The Marxist Muslim #POTUS also stokes racism. Who voted for #BHO   #ENLIST ----&gt; https://t.co/rRZgBcCxBO. Stand up. https://…,The Marxist Muslim also stokes racism Who voted for   gt Stand up
306,RT @DMashak: Blog: Flat Out UnConstitutional https://t.co/Lk9URHu3kN #Millennials #Boomers #GenX #Teen @GOP @TheDemocrats #TEAPArty #OWS @R…,Blog Flat Out UnConstitutional
307,Ready to show these folks a celebrity pistol whipping,Ready to show these folks a celebrity pistol whipping
308,#AddABandToATVShow Blues Motley Crues,Blues Motley Crues
309,"RT @LouDobbs: Liberal MSM upset by @realDonaldTrump who plays them, and shuts down the birther issue, period. Amb. Woolsey joins me #FoxLDT…",Liberal MSM upset by who plays them and shuts down the birther issue period Amb Woolsey joins me
310,RT @dcexaminer: Does Hillary Clinton have a Sidney Blumenthal #birther problem? It sure sounds like it. https://t.co/UyPoVGjPEI https://t.c…,Does Hillary Clinton have a Sidney Blumenthal problem It sure sounds like it
311,RT @abtsag: #IFindItFunnyHow my dog has funny hair today,my dog has funny hair today
312,Just because you have the emotional range of a teaspoon doesn't mean we all have,Just because you have the emotional range of a teaspoon doesnt mean we all have
313,"RT @PresGreg: Words matter. Use yours to inspire, encourage, thank, and welcome, never to hurt or exclude. What you say goes a long way. #M…",Words matter Use yours to inspire encourage thank and welcome never to hurt or exclude What you say goes a long way
314,"RT @POWMIAFamilies1: How You Can Help: Write or tweet your reps in #Congress, asking for full funding of POW/MIA accounting operations.",How You Can Help Write or tweet your reps in asking for full funding of POWMIA accounting operations
315,"RT @CCCINNC: @HAGOODMANAUTHOR 
Unbiased key points of Assange #WikiLeaks Press Conference re: ODNI ""Hacking Press Release""
https://t.co/Vid…", Unbiased key points of Assange Press Conference re ODNI Hacking Press
316,"RT @steven_winstone: ""Admits errors"". Translation: ""caught telling lies at the behest of corrupt influencers"". https://t.co/TS2bcuh5XD",Admits errors Translation caught telling lies at the behest of corrupt influencers
317,"RT @kevinwxgg: #ThingsDoneByMistake -- Beginning your Wang Chunging in the early afternoon, when you were clearly asked to wait until tonig…", Beginning your Wang Chunging in the early afternoon when you were clearly asked to wait until tonig
318,RT @BreitbartNews: A partisan commitment to stomp the working class so others could use a barely functional website to claim subsidies? htt…,A partisan commitment to stomp the working class so others could use a barely functional website to claim subsidies htt
319,"RT @PoliticalHedge: Blaming Trump, Schwarzenegger Leaving ‘Celebrity Apprentice’ https://t.co/NjwF6IXFdR https://t.co/tEVBgDctHT",Blaming Trump Schwarzenegger Leaving Celebrity Apprentice
320,RT @andrewm54220189: @Trmpwin so obamas regime created isis that went on to horrifically butcher syrian/iraq civilians and the left are pis…,so obamas regime created isis that went on to horrifically butcher syrianiraq civilians and the left are pis
321,Who could be on the stump for Hillary Clinton and Donald Trump in Ohio: Ohio Politics Roundup: Who's stumping fo...  #Cleveland #politics,Who could be on the stump for Hillary Clinton and Donald Trump in Ohio Ohio Politics Roundup Whos stumping fo
322,U.S. Rep. Marcia Fudge dismisses Donald Trump's pitch to minorities https://t.co/7mjCN32Yaj #politics,US Rep Marcia Fudge dismisses Donald Trumps pitch to minorities
323,"And I'll never let you go, if you promise not to fade away",And Ill never let you go if you promise not to fade away
324,This explains Colin Kaepernick pretty well https://t.co/B2WuOBcuAb,This explains Colin Kaepernick pretty well
325,#TopNews Obama administration expects to close Guantanamo prison: White House,Obama administration expects to close Guantanamo prison White House
326,RT @Beytell66: 💯True Story... https://t.co/FQNPcKJlVl,True Story
327,Rudy actor Sean Astin wraps up Hillary Clinton campaign visit at comic book store https://t.co/wM9ftZ2HBs,Rudy actor Sean Astin wraps up Hillary Clinton campaign visit at comic book store
328,RT @gerfingerpoken: (IBD) Hillary Clinton's Culture Of Corruption May Doom Candidacy... https://t.co/cyyv5GUala  - @IBDeditorials - https:/…,IBD Hillary Clintons Culture Of Corruption May Doom Candidacy 
329,Oh dude… https://t.co/1BK4AYlcoL,Oh dude
330,I dont know why terrible things happen to us sometimes. But I have to believe that something good is going to come.,I dont know why terrible things happen to us sometimes But I have to believe that something good is going to come
331,#crookedcruz #TrumpIsRight #TrumpWillWin #TrumpTrain #TrumpArmy #tcot #pjnet #ccot #nra #2A https://t.co/03UvSirqih,
332,"RT @Baltimore0nline: Five Harford heroin deaths in five days, but worst is yet to come, police and health o... https://t.co/LQXKfgLeI9 http…",Five Harford heroin deaths in five days but worst is yet to come police and health o
333,RT @xavvypls: LivingOnChi: The more I hear about him stumping for her the more I've decided they have him under threat. They wan… https://t…,LivingOnChi The more I hear about him stumping for her the more Ive decided they have him under threat They wan
334,Any musical #AddASongRuinAMovie @midnight,Any musical
335,RT @Darren32895836: BREAKING:Crooked Hillary Clinton DELETED 1000Emails between Her &amp; Petraeus! #YOGA #ClintonScandals #Thursdaythoughts ht…,BREAKINGCrooked Hillary Clinton DELETED 1000Emails between Her   Petraeus ht
336,Have you seen it? Trump being a nice guy... https://t.co/eMNgHdLCId,Have you seen it Trump being a nice guy
337,RT @chefreporterNRW: Jetzt fahren weitere Wasserwerfer und Panzer in die Schanze! Durch Vorrücken aber jetzt in benachbarten Straßen Randal…,Jetzt fahren weitere Wasserwerfer und Panzer in die Schanze Durch Vorrcken aber jetzt in benachbarten Straen Randal
338,RT @Andrea_RoseJ: Ensure access to #education for #refugees. Put safeguards in place to protect them from #humantrafficking. @refugee_gende…,Ensure access to for Put safeguards in place to protect them from
339,RT @GxbrielSilvxn: LMFAO IF THIS AINT FACTS https://t.co/CMwESBDJ6m,LMFAO IF THIS AINT FACTS
340,"RT @Modern_Scot: My father-in-law walked 21,000 steps today delivering leaflets for @theSNP #fitbit",My fatherinlaw walked 21000 steps today delivering leaflets for
341,RT @MREESE06: TUNE IN NOW! #StarInTheMorning - Weekdays (7am-10am) - @troitorain  @asktheking @apricotbunny7 @brutaltruth2682 https://t.co/…,TUNE IN NOW  Weekdays 7am10am
342,RT @emptywheel: Remember: McCain was the FIRST person to start rehabbing Petraeus after he passed code word intel to his mistress &amp; got no…,Remember McCain was the FIRST person to start rehabbing Petraeus after he passed code word intel to his mistress   got no
343,RT @Ni_Marketing: Do u know a HOT #artist we should feature on T2G Radio ? Tell them to submit a song to https://t.co/aL9DNtWn5x https://t.…,Do u know a HOT we should feature on T2G Radio  Tell them to submit a song to
344,"RT @MichelleKOrts10: Due to many years of musical study
I have reason to believe this is NOT @Hillaryclinton being interviewed by @AC360 
h…",Due to many years of musical study I have reason to believe this is NOT being interviewed by  h
345,Senator Bill Nelson says Fort Lauderdale shooter has been identified as Esteban Santiago - carrying a military ID,Senator Bill Nelson says Fort Lauderdale shooter has been identified as Esteban Santiago  carrying a military ID
346,RT @ErinLichnovsky: MT @Only1Jaffa: I will remember &amp; honor the ones who died &amp; sacrificed their life for us. https://t.co/sqs4qvLYYy #InHo…,MT I will remember   honor the ones who died   sacrificed their life for us
347,"RT @bomani_jones: and then what? you guys aren't paying much attention if you think it stops there. stop bring stupid, please. https://t.co…",and then what you guys arent paying much attention if you think it stops there stop bring stupid please
348,"Track and field of dreams""",Track and field of dreams
349,RT @BoogsMalone: Bars my nigga👆 collaborate with me https://t.co/1ATqTTgN7I https://t.co/P3XchJrWsG,Bars my nigga collaborate with me
350,RT @BernieSanders: President Trump: Women aren’t going back to second-class citizenship. They are going forward. We are all in this togethe…,President Trump Women arent going back to secondclass citizenship They are going forward We are all in this togethe
351,RT @JAPITTER: @ItsAlinaJo lol...The 3 black cops don't exist....lol  @richdoll54 @Teddyshouse2II @RawStory,lolThe 3 black cops dont existlol
352,"RT @TheDonWins: It's going to be a historic event. This Inauguration is the people's. The movement is less than 24 hours out.
Enjoy.
#Trump…",Its going to be a historic event This Inauguration is the peoples The movement is less than 24 hours out Enjoy
353,"RT @mas__yamazaki: まさしく、これこそが安倍政権を含む日本会議系の人士があれほど「教育勅語」にこだわり、人を欺くような詭弁を弄してまでも教育現場への導入をゴリ押しする最大の理由だろう。「勅語」とは「一切疑問を差し挟むな」という絶対服従を強いる大義名分。
htt…", htt
354,"RT @TimGranite: @TalibKweli @fishpainting I'm still waiting on evidence he's racist against white ppl. So far, I've seen nothing. Baseless…",Im still waiting on evidence hes racist against white ppl So far Ive seen nothing Baseless
355,"If Hillary takes an early lead tomorrow, don't be alarmed. The Trump voters are still at work. #HillaryForPrison2016 #TrumpForPresident",If Hillary takes an early lead tomorrow dont be alarmed The Trump voters are still at work
356,RT @SocialinAlex: Does your Website Make Your DAILY Sales?  Is it working for you?  https://t.co/7wAjGwQv34,Does your Website Make Your DAILY Sales  Is it working for you
357,"RT @PJStrikeForce: #ImWithHer THINK LONG &amp; HARD!
Muslim #Refugees Getting FREE APARTMENTS While #Homeless Citizens DIE IN THE STREETS 
 htt…",THINK LONG   HARD Muslim Getting FREE APARTMENTS While Citizens DIE IN THE STREETS   htt
358,RT @ayisi_yaw: #ThingsYouCantIgnore hankering for chocolate,hankering for chocolate
359,RT @ThePatriot143: BREAKING @CBSNews @MSNBC @CNN @ABC are all reporting that Donald Trump said nasty mean things about them...,BREAKING are all reporting that Donald Trump said nasty mean things about them
